Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,62.5654,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.478382229,6.097128948,7.200782868
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,12.90753425,..,12.90753425,..,..,..,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,94.97,97.14,98.2,97.04,99.6,99.6,..,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.606804136,4.644106454,4.625259616,4.589774171,4.588229602,4.664010748,4.619085482,..,..,..
Argentina,ARG,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,55.4,81.3,..,..,..,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,25.33231865,26.46596107,30.60122159,33.18739157,34.43213957,40.42762794,37.93224826,38.92481148,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1928.652357,1952.051053,1936.80354,1967.021678,2029.922825,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.24272132,14.28051761,17.29021799
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.26642E+11,1.42885E+11,1.39755E+11,1.49694E+11,1.53182E+11,1.76575E+11,1.88758E+11,2.36471E+11,2.80516E+11,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.346,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11872856663,6244423192
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,285960,282991.9922,280024.0039,277055.9961,274088.0078,271120,268151.9922,..,..,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.42696E+11,5.19872E+11,4.49663E+11
